year,rate
1960,0.01
1961,0.01
1962,0.01
1963,0.01
1964,0.02
1965,0.02
1966,0.03
1967,0.05
1968,0.14
1969,0.62
1970,4.53
1971,11.14
1972,13.16
1973,16.33
1974,19.28
1975,21.72
1976,24.19
1977,26.42
1978,27.67
1979,28.79
1980,29.28
1981,29.25
1982,28.77
1983,28.45
1984,28.15
1985,28.01
1986,27.41
1987,26.93
1988,27.37
1989,26.85
1990,27.39
1991,26.34
1992,25.89
1993,25.25
1994,23.97
1995,22.82
1996,22.76
1997,22.27
1998,21.95
1999,21.87
2000,21.3
2001,20.88
2002,20.49
2003,20.17
2004,19.69
2005,19.41
2006,19.95
2007,19.48
2008,19.46
2009,18.47
2010,17.68
2011,16.97
